4	61	0	2	22	33.5929258791
2	68	0	2	29	33.3532583969
4	75	0	2	35	70.1581688167
3	91	0	3	13	55.291299337
1	111	0	3	33	106.0071923778
0	133	0	4	16	52.4851897233
3	156	0	7	0	31.1256441825
4	157	0	7	1	50.6036602621
2	177	0	7	21	42.7350514418
1	180	0	7	24	57.0331471062
2	181	0	7	25	33.9082835151
1	187	0	7	31	30.4446308353
2	306	0	13	33	30.6799944126
2	394	0	20	4	41.0691417805
2	507	0	24	0	32.336231656
2	532	0	24	25	41.3012141448
1	552	0	37	3	49.9189725902
4	553	0	37	4	58.1187865941
3	554	0	37	4	56.0883253698
2	571	0	37	15	43.3548506205
1	581	0	37	22	58.849645744
3	633	0	28	33	46.9965795657
4	799	1	3	4	48.3199690961
2	808	1	3	13	78.7040828052
2	811	1	3	16	42.0061506475
4	828	1	3	33	117.0012792555
0	831	1	3	35	32.0676655628
0	847	1	9	13	44.9301773284
2	895	1	13	22	31.7176288695
1	899	1	13	26	33.8314776801
1	901	1	13	28	30.3418934313
3	919	1	24	7	30.331804913
1	924	1	24	12	41.5995104719
0	928	1	24	16	75.5280528049
2	1029	1	29	0	37.1975524441
3	1033	1	29	4	41.8226136291
1	1036	1	29	7	30.1497796443
4	1051	1	29	22	33.429001635
1	1053	1	29	24	33.0138277611
4	1054	1	29	25	31.1667043213
1	1055	1	29	26	30.5324902581
3	1062	1	29	33	39.8323117461
3	1068	1	30	0	36.1961652133
2	1182	2	1	35	60.3169406573
3	1188	2	3	2	62.9833248437
2	1189	2	3	2	40.2897904912
4	1196	2	3	6	30.5068067163
3	1201	2	3	9	38.1800926382
4	1203	2	3	10	30.7639732715
3	1207	2	3	13	61.8905185275
2	1218	2	3	20	38.2132515673
1	1223	2	3	25	32.2649246504
1	1225	2	3	26	31.7368561067
4	1233	2	3	33	93.7281950457
4	1236	2	3	35	78.420610698
0	1255	2	4	16	36.5999685101
1	1275	2	4	35	42.0724037644
2	1278	2	7	0	54.7695814002
2	1280	2	7	1	63.3161055024
2	1281	2	7	2	65.9692879548
2	1282	2	7	2	60.7280394883
3	1283	2	7	3	43.2736613152
2	1284	2	7	3	35.8745037131
4	1295	2	7	9	32.6485972692
4	1299	2	7	12	35.7288661774
0	1303	2	7	15	39.3100772731
4	1304	2	7	16	56.5094131283
2	1305	2	7	17	41.5694201437
0	1309	2	7	19	33.9557722303
0	1310	2	7	19	44.1296010249
0	1312	2	7	21	42.0904949789
3	1315	2	7	24	52.7991349972
3	1318	2	7	26	41.9115352438
4	1323	2	7	31	63.8649701293
3	1324	2	7	31	64.6837360478
3	1325	2	7	32	37.5376789366
3	1329	2	7	35	36.8484455788
1	1368	2	9	35	40.7301126858
2	1407	2	11	35	71.3621864786
3	1446	2	13	35	82.1334090463
3	1481	2	16	32	33.6972398783
0	1485	2	16	35	83.0456537258
0	1524	2	20	35	94.8872832252
2	1527	2	22	0	32.7687294711
3	1549	2	22	22	73.2198533394
2	1551	2	22	24	60.0744132988
3	1552	2	22	25	31.7582957122
3	1563	2	22	35	66.3561316865
0	1602	2	23	35	65.6475365955
1	1605	2	24	0	38.93836298
1	1607	2	24	2	42.600219132
0	1612	2	24	7	31.4155269495
3	1613	2	24	8	30.7181314549
2	1617	2	24	12	32.9050251834
4	1622	2	24	17	36.9688311907
4	1627	2	24	22	34.1852844846
1	1630	2	24	25	30.8041556707
4	1632	2	24	27	33.035892979
0	1635	2	24	30	46.2955310955
1	1639	2	24	34	31.8760261131
2	1641	2	24	35	97.7036218438
2	1644	2	37	0	80.1794017931
0	1645	2	37	0	58.9737000027
4	1646	2	37	1	54.0791044037
4	1647	2	37	2	71.7591775393
2	1648	2	37	2	62.1779914215
0	1649	2	37	3	70.629492297
1	1650	2	37	3	64.0909715152
0	1653	2	37	5	34.4856282848
0	1654	2	37	5	37.4259038189
0	1656	2	37	7	59.0543434557
2	1658	2	37	8	54.6678575825
0	1659	2	37	8	31.0296587308
4	1660	2	37	9	44.0489965869
4	1661	2	37	9	53.0837991573
4	1662	2	37	10	45.7101859904
2	1663	2	37	11	59.4074814548
1	1664	2	37	11	54.9003609122
2	1667	2	37	14	34.0180465031
3	1669	2	37	15	47.2274898422
1	1670	2	37	16	42.8606635958
4	1671	2	37	17	50.6171450102
4	1672	2	37	17	34.4032372712
0	1673	2	37	18	30.9066946257
0	1675	2	37	19	43.9004746709
4	1676	2	37	19	34.8941616987
1	1677	2	37	20	33.9435019718
0	1678	2	37	21	40.7554875929
