4	76	76	1
3	141	141	1
1	151	151	1
2	155	155	1
2	156	155	1
3	155	156	1
1	156	156	1
0	7	7	2
3	12	12	2
2	13	12	2
2	12	13	2
2	13	13	2
2	14	14	2
3	33	14	2
3	23	23	2
2	26	26	2
0	14	33	2
2	33	33	2
1	53	53	2
3	54	53	2
3	53	54	2
0	54	54	2
2	70	70	2
2	81	81	2
1	82	82	2
0	83	82	2
2	82	83	2
3	83	83	2
0	126	126	2
1	129	129	2
4	141	141	2
3	142	142	2
3	206	206	2
4	312	312	2
4	341	341	2
2	64	64	3
0	66	66	3
3	70	70	3
0	81	81	3
0	84	84	3
1	85	84	3
0	84	85	3
1	85	85	3
2	93	93	3
0	94	94	3
3	110	110	3
2	129	129	3
0	150	150	3
2	160	160	3
1	193	193	3
2	247	247	3
1	65	65	4
1	120	65	4
2	65	120	4
3	120	120	4
1	14	14	5
4	350	14	5
1	50	50	5
0	66	66	5
2	107	107	5
0	119	119	5
4	130	130	5
1	134	134	5
0	183	183	5
3	216	216	5
2	234	234	5
3	247	247	5
3	14	350	5
2	350	350	5
2	21	21	6
2	22	21	6
2	21	22	6
1	22	22	6
0	34	34	6
1	35	34	6
1	34	35	6
0	35	35	6
3	139	139	6
1	218	218	6
0	4	4	7
2	6	4	7
2	10	4	7
4	349	4	7
1	4	6	7
4	6	6	7
4	10	6	7
2	349	6	7
1	4	10	7
4	6	10	7
2	10	10	7
3	349	10	7
0	14	14	7
2	24	14	7
4	34	14	7
4	35	14	7
1	15	15	7
2	17	17	7
4	18	17	7
2	23	17	7
0	17	18	7
3	18	18	7
3	23	18	7
2	22	22	7
3	86	22	7
2	99	22	7
1	127	22	7
3	342	22	7
2	17	23	7
2	18	23	7
4	23	23	7
1	14	24	7
1	24	24	7
0	34	24	7
2	35	24	7
3	27	27	7
2	28	27	7
2	29	27	7
3	27	28	7
3	28	28	7
4	29	28	7
4	27	29	7
2	28	29	7
1	29	29	7
1	14	34	7
2	24	34	7
2	34	34	7
0	35	34	7
4	14	35	7
3	24	35	7
0	34	35	7
0	35	35	7
1	40	40	7
3	41	40	7
4	40	41	7
3	41	41	7
3	52	52	7
2	133	52	7
2	59	59	7
4	60	60	7
2	63	63	7
0	66	66	7
3	67	67	7
1	68	68	7
3	70	70	7
2	73	73	7
0	74	73	7
3	73	74	7
0	74	74	7
3	78	78	7
3	79	78	7
2	78	79	7
4	79	79	7
2	81	81	7
2	82	82	7
2	83	82	7
4	85	82	7
4	107	82	7
3	82	83	7
4	83	83	7
2	85	83	7
1	107	83	7
4	82	85	7
4	83	85	7
3	85	85	7
1	107	85	7
1	22	86	7
0	86	86	7
4	99	86	7
0	127	86	7
0	342	86	7
0	91	91	7
3	96	96	7
4	98	98	7
3	277	98	7
3	22	99	7
2	86	99	7
0	99	99	7
0	127	99	7
2	342	99	7
3	102	102	7
0	105	105	7
4	82	107	7
1	83	107	7
