41,73,2
41,45,2
41,59,2
41,72,2
41,49,2
41,52,2
41,39,2
41,58,2
41,74,2
41,38,2
41,65,2
41,40,2
41,11,2
41,61,2
41,16,2
41,56,2
41,54,2
41,67,2
41,59,2
41,51,2
41,44,2
41,55,2
41,70,2
41,53,2
41,63,2
41,62,2
41,69,2
41,42,2
41,47,2
41,50,2
41,48,2
41,57,2
41,68,2
41,43,2
41,46,2
41,60,2
41,64,2
41,66,2
41,31,2
41,32,2
41,71,2
73,45,2
73,59,2
73,72,2
73,49,2
73,52,2
73,39,2
73,58,2
73,74,2
73,38,2
73,65,2
73,40,2
73,11,2
73,61,2
73,16,2
73,56,2
73,54,2
73,67,2
73,59,2
73,51,2
73,44,2
73,55,2
73,70,2
73,53,2
73,63,2
73,62,2
73,69,2
73,42,2
73,47,2
73,50,2
73,48,2
73,57,2
73,68,2
73,43,2
73,46,2
73,60,2
73,64,2
73,66,2
73,31,2
73,32,2
73,71,2
45,59,2
45,72,2
45,49,2
45,52,2
45,39,2
45,58,2
45,74,2
45,38,2
45,65,2
45,40,2
45,11,2
45,61,2
45,16,2
45,56,2
45,54,2
45,67,2
45,59,2
45,51,2
45,44,2
45,55,2
45,70,2
45,53,2
45,63,2
45,62,2
45,69,2
45,42,2
45,47,2
45,50,2
45,48,2
45,57,2
45,68,2
45,43,2
45,46,2
45,60,2
45,64,2
45,66,2
45,31,2
45,32,2
45,71,2
59,72,2
59,49,2
59,52,2
59,39,2
59,58,2
59,74,2
59,38,2
59,65,2
59,40,2
59,11,2
59,61,2
59,16,2
59,56,2
59,54,2
59,67,2
59,59,2
59,51,2
59,44,2
59,55,2
59,70,2
59,53,2
59,63,2
59,62,2
59,69,2
59,42,2
59,47,2
59,50,2
59,48,2
59,57,2
59,68,2
59,43,2
59,46,2
59,60,2
59,64,2
59,66,2
59,31,2
59,32,2
59,71,2
72,49,2
72,52,2
72,39,2
72,58,2
72,74,2
72,38,2
72,65,2
72,40,2
72,11,2
72,61,2
72,16,2
72,56,2
72,54,2
72,67,2
72,59,2
72,51,2
72,44,2
72,55,2
72,70,2
72,53,2
72,63,2
72,62,2
72,69,2
72,42,2
72,47,2
72,50,2
72,48,2
72,57,2
72,68,2
72,43,2
72,46,2
72,60,2
72,64,2
72,66,2
72,31,2
72,32,2
72,71,2
49,52,2
49,39,2
49,58,2
49,74,2
49,38,2
49,65,2
49,40,2
49,11,2
49,61,2
49,16,2
49,56,2
49,54,2
49,67,2
49,59,2
49,51,2
49,44,2
49,55,2
49,70,2
49,53,2
49,63,2
49,62,2
49,69,2
49,42,2
49,47,2
49,50,2
49,48,2
49,57,2
49,68,2
49,43,2
49,46,2
49,60,2
49,64,2
49,66,2
49,31,2
49,32,2
49,71,2
52,39,2
52,58,2
52,74,2
52,38,2
52,65,2
52,40,2
52,11,2
52,61,2
52,16,2
52,56,2
52,54,2
52,67,2
52,59,2
52,51,2
52,44,2
52,55,2
52,70,2
52,53,2
52,63,2
52,62,2
52,69,2
52,42,2
52,47,2
52,50,2
52,48,2
52,57,2
52,68,2
52,43,2
52,46,2
52,60,2
52,64,2
52,66,2
52,31,2
52,32,2
52,71,2
39,58,2
39,74,2
39,38,2
39,65,2
39,40,2
39,11,2
39,61,2
39,16,2
39,56,2
39,54,2
39,67,2
39,59,2
39,51,2
39,44,2
39,55,2
39,70,2
39,53,2
39,63,2
39,62,2
39,69,2
39,42,2
39,47,2
39,50,2
39,48,2
39,57,2
39,68,2
39,43,2
39,46,2
39,60,2
39,64,2
39,66,2
39,31,2
39,32,2
39,71,2
58,74,2
58,38,2
58,65,2
58,40,2
58,11,2
58,61,2
58,16,2
58,56,2
58,54,2
58,67,2
58,59,2
58,51,2
58,44,2
58,55,2
58,70,2
58,53,2
58,63,2
58,62,2
58,69,2
58,42,2
58,47,2
58,50,2
58,48,2
58,57,2
58,68,2
58,43,2
58,46,2
58,60,2
58,64,2
58,66,2
58,31,2
58,32,2
58,71,2
74,38,2
74,65,2
74,40,2
74,11,2
74,61,2
74,16,2
74,56,2
74,54,2
74,67,2
74,59,2
74,51,2
74,44,2
74,55,2
74,70,2
74,53,2
74,63,2
74,62,2
74,69,2
74,42,2
74,47,2
74,50,2
74,48,2
74,57,2
74,68,2
74,43,2
74,46,2
74,60,2
74,64,2
74,66,2
74,31,2
74,32,2
74,71,2
38,65,2
38,40,2
38,11,2
38,61,2
38,16,2
38,56,2
38,54,2
38,67,2
38,59,2
38,51,2
38,44,2
